Question,Ground Truth,Chatbot Answer,Precision,Recall,F1 Score
ความเสี่ยงด้านกลยุทธ์และการประกอบธุรกิจคืออะไร?,"ความไม่แน่นอนของภาวะเศรษฐกิจ, ความเสี่ยงจากการลงทุนในธุรกิจใหม่, ความผันผวนในอุตสาหกรรมที่ดำเนินธุรกิจอยู่, การแพร่ระบาดของโรคติดต่อ, การเปลี่ยนแปลงสภาพภูมิอากาศและการเกิดภัยพิบัติ","ความเสี่ยงด้านกลยุทธ์และการประกอบธุรกิจ (Strategic Risk) คือ ความเสี่ยงที่เกิดจากการเปลี่ยนแปลงในสภาพแวดล้อมทางธุรกิจ ซึ่งอาจส่งผลกระทบต่อการดำเนินงานและผลการดำเนินงานของบริษัท โดยรวมถึงปัจจัยต่าง ๆ เช่น:

1. **ความผันผวนในอุตสาหกรรมที่ดำเนินธุรกิจอยู่**: การเปลี่ยนแปลงในตลาดหรืออุตสาหกรรมที่อาจส่งผลต่อความสามารถในการแข่งขันของบริษัท
2. **พฤติกรรมหรือความต้องการของลูกค้า/ผู้บริโภค**: การเปลี่ยนแปลงในความต้องการหรือพฤติกรรมของลูกค้าอาจทำให้บริษัทต้องปรับกลยุทธ์
3. **นโยบายของรัฐ**: การเปลี่ยนแปลงในกฎระเบียบหรือกฎหมายที่มีผลต่อการดำเนินธุรกิจ
4. **การเปลี่ยนแปลงด้านเทคโนโลยี**: การพัฒนาเทคโนโลยีใหม่ ๆ ที่อาจทำให้ผลิตภัณฑ์หรือบริการของบริษัทล้าสมัย
5. **ธุรกิจของคู่ค้าหรือผู้ประกอบการในห่วงโซ่อุปทาน**: ความเสี่ยงที่เกิดจากการพึ่งพิงคู่ค้าในห่วงโซ่อุปทาน
6. **ความเสียหายด้านภาพลักษณ์และชื่อเสียง**: ความเสี่ยงที่เกิดจากการที่บริษัทอาจประสบปัญหาด้านชื่อเสียงซึ่งอาจส่งผลต่อความเชื่อมั่นของลูกค้าและผู้มีส่วนได้ส่วนเสีย

การบริหารจัดการความเสี่ยงด้านกลยุทธ์จึงมีความสำคัญในการรักษาความสามารถในการแข่งขันและความยั่งยืนของธุรกิจ [Page 4].",0.6872087717056274,0.7737274765968323,0.7279061675071716
ความเสี่ยงด้านการเงินประกอบด้วยอะไรบ้าง?,"ความผันผวนของอัตราแลกเปลี่ยน, อัตราดอกเบี้ย, อัตราเงินเฟ้อ, ความผันผวนของผลตอบแทนในสินทรัพย์หรือเงินลงทุน, การไม่เพียงพอของเงินทุน, ความเสี่ยงจากการขาดสภาพคล่องในการดำเนินธุรกิจ","ความเสี่ยงด้านการเงินประกอบด้วยหลายปัจจัย ได้แก่:

1. **การไม่เพียงพอของเงินทุน** - หมายถึงความเสี่ยงที่บริษัทอาจไม่มีเงินทุนเพียงพอในการดำเนินธุรกิจหรือการลงทุนที่จำเป็น
2. **การผิดนัดชำระหนี้หรือการแลกเปลี่ยนสินค้า** - ความเสี่ยงที่บริษัทอาจไม่สามารถชำระหนี้ตามกำหนดหรือมีปัญหาในการแลกเปลี่ยนสินค้าหรือบริการ
3. **ความผันผวนของอัตราแลกเปลี่ยน / อัตราดอกเบี้ย / อัตราเงินเฟ้อ** - ความเสี่ยงที่เกิดจากการเปลี่ยนแปลงในอัตราแลกเปลี่ยนเงินตรา อัตราดอกเบี้ย หรืออัตราเงินเฟ้อ ซึ่งอาจส่งผลต่อผลประกอบการของบริษัท
4. **ความเสี่ยงจากการขาดสภาพคล่องในการดำเนินธุรกิจ** - หมายถึงความเสี่ยงที่บริษัทอาจไม่สามารถเข้าถึงเงินสดหรือทรัพยากรทางการเงินที่จำเป็นในการดำเนินงานได้

ข้อมูลนี้สามารถพบได้ในรายงานประจำปี [Page 1].",0.7192431688308716,0.8137109279632568,0.7635663151741028
มาตรการจัดการความเสี่ยงในด้านการเงินมีหรือไม่?,มี,"มีมาตรการจัดการความเสี่ยงในด้านการเงินครับ โดยมีการระบุความเสี่ยงด้านการเงินที่สำคัญ เช่น การไม่เพียงพอของเงินทุน, การเปลี่ยนแปลงนโยบายด้านการเงินและการลงทุนของสถาบันการเงิน, การผิดนัดชำระหนี้หรือการแลกเปลี่ยนสินค้า, ความผันผวนของอัตราแลกเปลี่ยน, อัตราดอกเบี้ย และอัตราเงินเฟ้อ รวมถึงความผันผวนของผลตอบแทนในสินทรัพย์หรือเงินลงทุน นอกจากนี้ยังมีการจัดการความเสี่ยงจากการที่กู้ยืมต่างประเทศที่ไม่ได้มีการป้องกันความเสี่ยงด้วยครับ [Page 1].",0.4673890173435211,0.6813722848892212,0.5544509887695312
ความเสี่ยงด้านสภาพคล่องคืออะไร?,ความเสี่ยงจากการขาดสภาพคล่องในการดำเนินธุรกิจ,"ความเสี่ยงด้านสภาพคล่อง (Liquidity Risk) คือ ความเสี่ยงที่เกิดขึ้นเมื่อบริษัทไม่สามารถจัดหาเงินทุนหรือทรัพยากรทางการเงินได้เพียงพอเพื่อรองรับการดำเนินงานหรือการชำระหนี้ในเวลาที่กำหนด ซึ่งอาจเกิดจากหลายปัจจัย เช่น การเปลี่ยนแปลงในตลาดการเงิน การลดลงของรายได้ หรือการใช้จ่ายที่สูงกว่าที่คาดการณ์ไว้

การจัดการความเสี่ยงด้านสภาพคล่องนั้นสำคัญมาก เนื่องจากหากบริษัทไม่สามารถจัดการเงินสดได้อย่างเหมาะสม อาจส่งผลให้เกิดปัญหาทางการเงินหรือแม้กระทั่งการล้มละลายได้ ดังนั้น บริษัทจึงต้องมีการวางแผนการเงินที่ดีและมีการสำรองเงินสดเพื่อรองรับสถานการณ์ที่ไม่คาดคิด [Page 5].",0.6549471616744995,0.7395915985107422,0.6947005391120911
ความเสี่ยงด้านตลาดมีมาตรการจัดการความเสี่ยงหรือไม่?,มี,ความเสี่ยงด้านตลาดมีมาตรการจัดการความเสี่ยงครับ โดยมีการระบุถึงความไม่แน่นอนของภาวะเศรษฐกิจ การแพร่ระบาดของโรคติดต่อ และการเปลี่ยนแปลงสภาพภูมิอากาศและการเกิดภัยพิบัติเป็นปัจจัยที่ต้องพิจารณาในการจัดการความเสี่ยงเหล่านี้ [Page 1].,0.5074765682220459,0.6651800870895386,0.5757240056991577
ความเสี่ยงด้านการเงินคืออะไร?,ความเสี่ยงจากการขาดสภาพคล่องในการดำเนินธุรกิจ,"ความเสี่ยงด้านการเงิน (Financial Risk) หมายถึง ความเสี่ยงที่เกิดจากการไม่เพียงพอของเงินทุน การเปลี่ยนแปลงนโยบายด้านการเงินและการลงทุนของสถาบันการเงินที่มีผลต่อการดำเนินงาน การผิดนัดชำระหนี้หรือการแลกเปลี่ยนสินค้า รวมถึงความผันผวนของอัตราแลกเปลี่ยน อัตราดอกเบี้ย และอัตราเงินเฟ้อ ซึ่งทั้งหมดนี้สามารถส่งผลกระทบต่อผลประกอบการและสถานะทางการเงินของบริษัทได้

การจัดการความเสี่ยงด้านการเงินจึงมีความสำคัญ เพื่อให้บริษัทสามารถป้องกันและลดผลกระทบที่อาจเกิดขึ้นจากความเสี่ยงเหล่านี้ได้ โดยการวางแผนการเงินที่ดี การใช้เครื่องมือทางการเงินที่เหมาะสม และการติดตามสถานการณ์ทางการเงินอย่างใกล้ชิด [Page 5] ครับ",0.6385489106178284,0.7263920307159424,0.6796438694000244
ความเสี่ยงด้านกลยุทธ์และการประกอบธุรกิจมีอะไรบ้าง?,การเปลี่ยนแปลงด้านเทคโนโลยี,"ความเสี่ยงด้านกลยุทธ์และการประกอบธุรกิจประกอบด้วยหลายประเด็นที่สำคัญ ได้แก่:

1. **ความผันผวนในอุตสาหกรรมที่ดำเนินธุรกิจอยู่**: การเปลี่ยนแปลงในตลาดหรืออุตสาหกรรมสามารถส่งผลกระทบต่อการดำเนินงานและผลประกอบการของบริษัทได้

2. **พฤติกรรมหรือความต้องการของลูกค้า / ผู้บริโภค**: การเปลี่ยนแปลงในความต้องการและพฤติกรรมของลูกค้าอาจทำให้บริษัทต้องปรับกลยุทธ์เพื่อให้ตอบสนองต่อความต้องการที่เปลี่ยนแปลงไป

3. **นโยบายของรัฐ**: การเปลี่ยนแปลงในกฎหมายหรือระเบียบข้อบังคับของรัฐสามารถมีผลกระทบต่อการดำเนินธุรกิจ

4. **การเปลี่ยนแปลงด้านเทคโนโลยี**: นวัตกรรมและการพัฒนาเทคโนโลยีใหม่ๆ อาจทำให้บริษัทต้องปรับตัวเพื่อไม่ให้ล้าหลังในตลาด

5. **ธุรกิจของคู่ค้าหรือผู้ประกอบการในห่วงโซ่อุปทาน**: ความเสี่ยงที่เกิดจากคู่ค้าในห่วงโซ่อุปทานอาจส่งผลกระทบต่อการดำเนินงานของบริษัท

6. **ความเสียหายด้านภาพลักษณ์และชื่อเสียง**: การจัดการกับความเสี่ยงที่เกี่ยวข้องกับภาพลักษณ์ของบริษัทเป็นสิ่งสำคัญ เนื่องจากอาจส่งผลต่อความเชื่อมั่นของลูกค้าและผู้ลงทุน

การจัดการความเสี่ยงเหล่านี้จึงมีความสำคัญเพื่อให้บริษัทสามารถดำเนินงานได้อย่างมีประสิทธิภาพและยั่งยืน [Page 1].",0.5624892711639404,0.7978420257568359,0.6598063111305237
ความเสี่ยงด้านการบริหารจัดการและการปฏิบัติงานมีประเด็นใดบ้าง?,"การพึ่งพิงบุคลากรในตำแหน่งงานสำคัญ, การขาดแคลนหรือพึ่งพิงแรงงานที่มีศักยภาพ, การปฏิบัติงานของพนักงาน, ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน, ผลกระทบจากโครงสร้างประชากร","ความเสี่ยงด้านการบริหารจัดการและการปฏิบัติงาน (Operational Risk) มีประเด็นหลัก ๆ ดังนี้ครับ:

1. **การพึ่งพิงบุคลากรในตำแหน่งงานสำคัญ** - หากบุคลากรสำคัญไม่สามารถทำงานได้ จะส่งผลกระทบต่อการดำเนินงานขององค์กร
2. **การขาดแคลนหรือพึ่งพิงแรงงานที่มีศักยภาพ** - การขาดแคลนแรงงานที่มีทักษะหรือความสามารถอาจทำให้การดำเนินงานไม่ราบรื่น
3. **ระบบงานหรือระบบการควบคุมภายใน** - หากระบบงานหรือการควบคุมภายในไม่เพียงพอ อาจนำไปสู่ความผิดพลาดในการดำเนินงาน
4. **การปฏิบัติงานของพนักงาน** - การทำงานที่ไม่เป็นไปตามมาตรฐานหรือความผิดพลาดจากพนักงานอาจส่งผลกระทบต่อผลลัพธ์
5. **ความปลอดภัยของข้อมูลหรือระบบคอมพิวเตอร์และการโจมตีทางไซเบอร์** - ความเสี่ยงจากการถูกโจมตีทางไซเบอร์อาจทำให้ข้อมูลสำคัญรั่วไหลหรือเกิดความเสียหาย
6. **ความเสียหายจากการที่คู่ค้าหรือคู่สัญญาไม่ปฏิบัติตามข้อตกลง** - หากคู่ค้าหรือคู่สัญญาไม่ปฏิบัติตามสัญญา อาจส่งผลกระทบต่อการดำเนินงานของบริษัท

การจัดการความเสี่ยงเหล่านี้จึงเป็นสิ่งสำคัญเพื่อให้การดำเนินงานของบริษัทเป็นไปอย่างมีประสิทธิภาพและปลอดภัยครับ [Page 5].",0.6943241357803345,0.8011566996574402,0.7439245581626892
มาตรการจัดการความเสี่ยงมีหรือไม่?,มี,"มีมาตรการจัดการความเสี่ยงครับ โดยบริษัทได้มีการจัดทำมาตรการเพื่อจัดการกับความเสี่ยงในหลายด้าน เช่น ความเสี่ยงด้านกลยุทธ์และการประกอบธุรกิจ, ความเสี่ยงด้านการบริหารจัดการและการปฏิบัติงาน, ความเสี่ยงด้านกฎระเบียบและกฎหมาย, ความเสี่ยงด้านการเงิน และความเสี่ยงด้านเทคโนโลยี ซึ่งแต่ละด้านมีการกำหนดมาตรการเฉพาะเพื่อรับมือกับความเสี่ยงที่อาจเกิดขึ้น [Page 1].",0.45518985390663147,0.6566581130027771,0.5376708507537842
ความเสี่ยงด้านกฎระเบียบและกฎหมายคืออะไร?,การกำกับดูแลกิจการ,ความเสี่ยงด้านกฎระเบียบและกฎหมาย (Compliance Risk) หมายถึง ความเสี่ยงที่เกิดจากการเปลี่ยนแปลงกฎระเบียบและกฎหมายที่เกี่ยวข้องกับการประกอบธุรกิจ ซึ่งอาจส่งผลกระทบต่อการดำเนินงานของบริษัท เช่น การละเมิดกฎระเบียบและกฎหมายที่เกี่ยวข้อง หรือการกำกับดูแลกิจการที่ไม่เอื้อต่อการประกอบธุรกิจ โดยบริษัทต้องมีมาตรการจัดการความเสี่ยงในด้านนี้เพื่อป้องกันไม่ให้เกิดผลกระทบที่ไม่ดีต่อการดำเนินงานและชื่อเสียงของบริษัทครับ [Page 5].,0.5999026894569397,0.8141117691993713,0.6907819509506226
ปริมาณการใช้ไฟฟ้ารวมในปี 2566 เป็นเท่าไหร่?,"123,402.00 กิโลวัตต์-ชั่วโมง","ปริมาณการใช้ไฟฟ้ารวมในปี 2566 เท่ากับ 123,402,000 กิโลวัตต์-ชั่วโมง ครับ [Page 19].",0.7170940041542053,0.8669290542602539,0.7849250435829163
ปริมาณการใช้น้ำรวมในปี 2567 เป็นเท่าไหร่?,"464,567.00 ลูกบาศก์เมตร","ปริมาณการใช้น้ำรวมในปี 2567 คือ 464,567 ลูกบาศก์เมตรครับ [Page 12].",0.7107370495796204,0.8831757307052612,0.7876286506652832
ปริมาณขยะและของเสียไม่อันตรายในปี 2565 เป็นเท่าไหร่?,"1,890,000.00 กิโลกรัม","ปริมาณขยะและของเสียไม่อันตรายในปี 2565 อยู่ที่ 2,693,000 กิโลกรัมครับ [Page 5].",0.6480649709701538,0.8355982303619385,0.7299796342849731
ปริมาณการปล่อยก๊าซเรือนกระจกขอบเขตที่ 1 ในปี 2566 เป็นเท่าไหร่?,"11,518.00 ตันคาร์บอนไดออกไซด์เทียบเท่า","ปริมาณการปล่อยก๊าซเรือนกระจกขอบเขตที่ 1 ในปี 2566 เท่ากับ 11,518.00 ตันคาร์บอนไดออกไซด์เทียบเท่า ครับ [Page 12].",0.749775767326355,0.9162642955780029,0.8247013688087463
ปริมาณการปล่อยก๊าซเรือนกระจกขอบเขตที่ 2 ในปี 2565 เป็นเท่าไหร่?,"62,643.00 ตันคาร์บอนไดออกไซด์เทียบเท่า","ปริมาณการปล่อยก๊าซเรือนกระจกขอบเขตที่ 2 ในปี 2565 เท่ากับ 51,629.00 ตันคาร์บอนไดออกไซด์เทียบเท่า ครับ [Page 11].",0.7476666569709778,0.913873553276062,0.8224570751190186
การจัดการความยั่งยืนในมิติสังคม,มีนโยบายและแนวปฏิบัติด้านสิทธิมนุษยชนของบริษัท,"การจัดการความยั่งยืนในมิติสังคมของบริษัท เอสซีบี เอกซ์ จำกัด (มหาชน) มีนโยบายและแนวปฏิบัติที่ชัดเจนเกี่ยวกับสิทธิมนุษยชน ซึ่งรวมถึงสิทธิของพนักงาน แรงงานข้ามชาติ/ต่างด้าว แรงงานเด็ก และสิทธิผู้บริโภค นอกจากนี้ยังมีการดูแลสิทธิชุมชนและสิ่งแวดล้อม ความปลอดภัยและอาชีวอนามัยในการทำงาน รวมถึงการไม่เลือกปฏิบัติ [Page 11].

บริษัทได้ให้ความสำคัญกับการพัฒนาทรัพยากรมนุษย์ โดยมีการฝึกอบรมและพัฒนาพนักงานอย่างต่อเนื่อง ซึ่งในปีที่ผ่านมา บริษัทมีจำนวนพนักงานรวม 31,912 คน โดยมีการจ่ายค่าตอบแทนรวมและการฝึกอบรมที่มีค่าใช้จ่ายสูงขึ้นในแต่ละปี [Page 14].

การจัดการด้านความยั่งยืนในมิติสังคมนี้ไม่เพียงแต่ช่วยสร้างสภาพแวดล้อมการทำงานที่ดีขึ้น แต่ยังส่งผลดีต่อภาพลักษณ์ของบริษัทในสายตาของผู้มีส่วนได้ส่วนเสีย และช่วยให้บริษัทสามารถดำเนินธุรกิจได้อย่างยั่งยืนในระยะยาวครับ.",0.6197483539581299,0.8309300541877747,0.7099679708480835
URL นโยบายด้านสิทธิมนุษยชนของบริษัท,https://www.scbx.com/wp-content/uploads/2023/07/scbx-human-rights-policy-th.pdf,URL นโยบายด้านสิทธิมนุษยชนของบริษัทคือ: [https://www.scbx.com/wp-content/uploads/2023/07/scbx-human-rights-policy-th.pdf](https://www.scbx.com/wp-content/uploads/2023/07/scbx-human-rights-policy-th.pdf) ครับ,0.7335384488105774,0.8322010636329651,0.7797611951828003
จำนวนพนักงานหญิงในปี 2566,"21,489 คน","จำนวนพนักงานหญิงในปี 2566 คือ 21,489 คนครับ [Page 5].",0.61910480260849,0.8070867657661438,0.7007070779800415
ค่าใช้จ่ายในการฝึกอบรมและพัฒนาในปี 2567,"317,000,000.00 บาท","ค่าใช้จ่ายในการฝึกอบรมและพัฒนาในปี 2567 มีจำนวน 317,000,000 บาท ครับ [Page 33].",0.5938253998756409,0.8176454305648804,0.6879895925521851
จำนวนชั่วโมงอบรมเฉลี่ยของพนักงานในปี 2566,41.00 ชั่วโมง/คน/ปี,จำนวนชั่วโมงอบรมเฉลี่ยของพนักงานในปี 2566 คือ 39 ชั่วโมงต่อคนต่อปีครับ [Page 1].,0.6800416111946106,0.7387062311172485,0.7081610560417175
นาย ไพรินทร์ ชูโชติถาวร มีอายุเท่าไหร่?,68 ปี,นาย ไพรินทร์ ชูโชติถาวร มีอายุ 68 ปีครับ [Page 25].,0.5625305771827698,0.7431709170341492,0.6403551697731018
นาย อาทิตย์ นันทวิทยา มีวุฒิการศึกษาอะไร?,ปริญญาโท,นาย อาทิตย์ นันทวิทยา มีวุฒิการศึกษาเป็นปริญญาโท สาขาการเงิน ครับ [Page 32].,0.6443397998809814,0.851079523563385,0.7334189414978027
นางสาว จรีพร จารุกรสกุล เป็นกรรมการประเภทใด?,กรรมการที่เป็นผู้บริหาร,"นางสาว จรีพร จารุกรสกุล เป็นกรรมการประเภท ""กรรมการที่เป็นผู้บริหาร"" ค่ะ โดยมีวุฒิการศึกษาเป็นปริญญากิตติมศักดิ์ในสาขาบริหารธุรกิจ และมีอายุ 57 ปี สัญชาติไทย และถิ่นที่อยู่ในประเทศไทยค่ะ [Page 1].",0.6442747116088867,0.8558100461959839,0.7351274490356445
พล.อ.อ. สถิตย์พงษ์ สุขวิมล มีสาขาอะไร?,ศิลปกรรมศาสตร์,พล.อ.อ. สถิตย์พงษ์ สุขวิมล มีสาขาศิลปกรรมศาสตร์ครับ [Page 25].,0.5905798673629761,0.8200461864471436,0.6866493821144104
นาย ประสัณห์ เชื้อพานิช มีอายุเท่าไหร่?,72 ปี,นายประสัณห์ เชื้อพานิช มีอายุ 72 ปี ครับ [Page 1].,0.5419691801071167,0.7821451425552368,0.6402748227119446
นางสาวกุลยา ตันติเตมิทมีอายุเท่าไหร่?,52 ปี,นางสาวกุลยา ตันติเตมิทมีอายุ 52 ปีครับ [Page 1].,0.5861882567405701,0.759483814239502,0.6616775393486023
นายธิบดี วัฒนกุลมีสาขาการศึกษาคืออะไร?,บริหารธุรกิจ,นายธิบดี วัฒนกุลมีสาขาการศึกษาคือ บริหารธุรกิจ ครับ [Page 26].,0.691790759563446,0.8868942260742188,0.7772864103317261
ตำแหน่งของนายวิรไท สันติประภพคืออะไร?,กรรมการ,"ตำแหน่งของนายวิรไท สันติประภพคือกรรมการ (กรรมการที่ไม่เป็นผู้บริหาร, กรรมการอิสระ) ครับ [Page 26].",0.6056753396987915,0.7561428546905518,0.6725965142250061
นายวิชิต สุรพงษ์ชัยดำรงตำแหน่งประธานกรรมการตั้งแต่เมื่อไหร่?,15 ก.ย. 2564,นายวิชิต สุรพงษ์ชัยดำรงตำแหน่งประธานกรรมการตั้งแต่วันที่ 15 กันยายน 2564 ครับ [Page 26].,0.5210674405097961,0.6531940698623657,0.5796973705291748
นายวิชิต สุรพงษ์ชัยเป็นกรรมการอิสระหรือไม่?,ไม่ใช่,นายวิชิต สุรพงษ์ชัยไม่ใช่กรรมการอิสระครับ เขาเป็นประธานกรรมการและไม่ได้เป็นกรรมการอิสระตามข้อมูลที่ระบุไว้ในรายงานประจำปี [Page 27].,0.5703345537185669,0.7513089179992676,0.6484311819076538
กรรมการบริหารคนแรกชื่ออะไร?,นาย อาทิตย์ นันทวิทยา,กรรมการบริหารคนแรกชื่อ นาย อาทิตย์ นันทวิทยา ครับ [Page 1].,0.699067234992981,0.8856227397918701,0.7813640236854553
นาย ไพรินทร์ ชูโชติถาวร มีอายุเท่าไหร่?,68 ปี,นายไพรินทร์ ชูโชติถาวร มีอายุ 68 ปีครับ [Page 25].,0.5644971132278442,0.7451575398445129,0.6423667073249817
